gene,meanTumor,meanControl,log2FC,pvalue
ATP9A,0.0,0.0,0.0,1.0
GML2,0.0,0.0,0.0,1.0
GM11545,0.0,0.0,0.0,1.0
KRTAP1-5,0.0,0.0,0.0,1.0
GYPA,0.004825139274642389,0.008260362498684766,-0.003435223224042377,0.7165644330662412
SRSF9,7.2072539399272815,7.373089240972933,-0.16583530104565192,0.14277670316215843
AW112010,1.8748214861660764,5.207588596434371,-3.3327671102682945,3.5066236975442364e-09
TBX2,0.15921058427313015,0.03346268268381282,0.1257479015893173,0.007386905129372382
1810043G02RIK,2.0828146119244195,2.448677088129129,-0.36586247620470935,0.0016000904528597044
ACER2,0.004015495103272862,0.007562787605237617,-0.003547292501964755,0.5821774107132494
KLRC3,0.0,0.0,0.0,1.0
OLFR1101,0.0,0.0,0.0,1.0
ERBB3,0.01919969047185013,0.30108193036756237,-0.28188223989571226,1.5314066025013642e-05
SETD1B,3.997195106847831,4.32078647696509,-0.3235913701172586,0.009350690040412118
IDO1,0.2246136274660968,0.17006589026146857,0.054547737204628244,0.42037095009350867
ARID5A,5.204655442934594,5.244273367567454,-0.039617924632860735,0.894571785220872
MRO,0.026222414688107088,0.016743776614922483,0.009478638073184605,0.5024966027850089
CUEDC1,4.211646845767312,2.4242150766731734,1.7874317690941388,0.00025240814089183875
VMN2R123,0.0,0.0,0.0,1.0
DND1,0.9345118138328828,1.088259298651006,-0.15374748481812317,0.241654581977846
LCN3,0.0,0.0,0.0,1.0
MTIF2,4.780541861913313,5.07906509358533,-0.298523231672017,8.437134451753535e-05
CXXC4,0.0,0.0,0.0,1.0
RCCD1,3.2157379234740993,3.3334967896550807,-0.11775886618098141,0.0645717291519779
1700125G22RIK,0.028915332169607344,0.0,0.028915332169607344,0.18649110194328603
GM4788,0.0,0.0,0.0,1.0
PIGYL,5.858417425546463,5.509461326579422,0.34895609896704105,0.006797080558890038
OLFR393,0.0,0.0,0.0,1.0
ZBTB16,0.0026785686763317594,0.0,0.0026785686763317594,0.19064624777266084
METTL3,5.335859666102866,5.457261677275168,-0.12140201117230198,0.0034749256147792776
GAS5,10.336064142949335,10.324631780366891,0.01143236258244329,0.9273834078570016
HERC4,5.486776780744286,5.603631865830493,-0.11685508508620668,0.052762667758049296
RHOX13,0.0,0.0,0.0,1.0
SCARF2,0.059891404867084906,0.09456722092336403,-0.034675816056279125,0.3310943069677799
ZBTB33,5.109141233690811,5.1363668807064045,-0.0272256470155936,0.6250199445896287
CDH19,0.03639918822744109,0.003223134572957495,0.033176053654483596,0.10318219185059038
OLFR952,0.0,0.0,0.0,1.0
1700017G19RIK,0.0,0.0,0.0,1.0
SPDYA,0.033783447816316474,0.0713123003905439,-0.037528852574227424,0.055966038354668915
CD164L2,0.012098780999771951,0.0,0.012098780999771951,0.38928314247621143
SULT2A7,0.0,0.0,0.0,1.0
TMEM167,4.476361094088614,4.441625961062188,0.034735133026425835,0.7381075008932505
NSG1,0.0034775168390738655,0.0,0.0034775168390738655,0.38928314247621143
NEUROG3,0.013723567572138197,0.0,0.013723567572138197,0.38928314247621143
OLFR765,0.0,0.0,0.0,1.0
FAM167B,0.0762505279390498,0.0,0.0762505279390498,0.07403721691208377
CYP3A41B,0.0,0.0,0.0,1.0
4930488B22RIK,0.0,0.0,0.0,1.0
IMP3,6.755001033566629,6.532285248823499,0.22271578474313003,0.019323423191860492
IL18BP,1.6269754736330944,1.4515791171229906,0.17539635651010377,0.15075333494594234
OLFR713,0.0,0.0,0.0,1.0
RHBDL1,2.4871276421810165,2.455869193015905,0.03125844916511156,0.7593482115077965
FMO2,0.0,0.0,0.0,1.0
PNP,8.235405560124873,8.837117539009341,-0.6017119788844685,0.0012670549003116894
TCF7L2,2.6312399130164943,2.265053445431415,0.36618646758507944,8.423535512060189e-05
FOXB1,0.0,0.0,0.0,1.0
SLC9A1,3.9277997224420886,4.16114016119772,-0.23334043875563104,0.011557746309441314
VGLL4,5.019139607155335,4.38848109652655,0.630658510628785,0.0009268251997423682
MFSD1,6.212569250535076,5.2564665950700205,0.9561026554650551,2.2305118524140153e-05
FHL2,0.0,0.008657632422747204,-0.008657632422747204,0.2966650369240991
DLEU2,2.7885743090889914,2.8777719967427164,-0.08919768765372504,0.5988597967647553
XPO4,5.293769077683616,5.3637487835071385,-0.06997970582352231,0.6293411169208105
